AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2019,ID_198,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_199,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_200,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_201,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_202,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_203,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_204,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_205,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_206,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_207,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_208,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_209,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_210,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_211,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_212,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_213,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_73,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_214,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_215,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_216,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_217,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_218,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_219,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_220,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_221,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_222,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_223,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_224,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_225,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_226,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_227,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_228,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
